Quantity,Manufacture Part Number,Manufacturer(optional),Description(optional),LCSC Part Number(optional),Package(optional),Customer Part Number(optional)
24,4µ7,,4µ7,C429940,,
1,47n,,47n, C696860,,
2,220µ,,220µ,C97814,,
8,100n,,100n,C282519,,
5,LED,,LED,C2760783,,
1,Conn_01x02_Female,,Conn_01x02_Female,C98733,,
2,USB_A,,USB_A,C381138,,
2,2µ2,,2µ2,C405172,,
7,USB_C_Plug_USB2.0,,USB_C_Plug_USB2.0,C283540,,
5,BSS214NW,,BSS214NW,C916396,,
27,5K1,,5K1,C2907044,,
1,110K,,110K,C2906984,,
9,500K,,500K,C412382,,
1,45K3,,45K3,C23058,,
5,900K,,900K,C2907075,,
6,SW_Push,,SW_Push,C174049,,
5,CC6900,,CC6900,C350864,,
5,LPW5209AB5F,,LPW5209AB5F,C387727,,
1,MT3420C-mt3420c,,MT3420C-mt3420c,C181741,,
1,ESP32-WROOM-32D,,ESP32-WROOM-32D,C473012,,
1,TPS61088,,TPS61088,C87357,,
